"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"30","284.49631131817176","63.69266983510511","0.0084228515625","0.0010244458472245669","0.010986328125","0.005859375","2180","0.00025223542295247975","32","0.00025223542295247975","0","0.00025223542295247975","0.00025223542295247975","31:0.003171427386588127;29:0.0018419182360543962","31:68;29:80","31:0.001923271129775972;29:0.0011961438122350954","0.0084228515625","0.00732421875","Yes"
"31","257.0187514804815","267.6185035323338","0.01953125","","0.021484375","0.017578125","2180","0.0001332618661168544","32","0.0001332618661168544","0","0.0001332618661168544","0.0001332618661168544","30:0.003171427386588127;32:0.0019251927095417787;18:0.005904117206652626","30:68;32:68;18:68","30:0.001923271129775972;32:0.0019080583716873933;18:0.002052852700480279","0.01953125","0.086669921875","Yes"
"32","163.26374890396156","258.25667397901753","0.0274658203125","","0.031494140625","0.0234375","2180","0.0002977324662704942","32","0.0002977324662704942","0","0.0002977324662704942","0.0002977324662704942","31:0.0019251927095417787;33:0.0029143688944335555","31:68;33:68","31:0.0019080583716873933;33:0.0016744840710559983","0.0274658203125","0.015380859375","Yes"
"33","246.56763332342675","352.33858766726576","0.0123291015625","0.0013822635176778872","0.0126953125","0.011962890625","2180","0.00010389340700557","32","0.00010389340700557","0","0.00010389340700557","0.00010389340700557","39:0.00225446817464911;32:0.0029143688944335555;34:0.0023509838809708528","39:68;32:68;34:108","39:0.0015503302945885922;32:0.0016744840710559983;34:0.002746091843658399","0.0123291015625","0.013916015625","Yes"
"34","204.5217933321788","215.94802729585254","0.026123046875","","0.029541015625","0.022705078125","2180","0.00016152158062415127","32","0.00016152158062415127","0","0.00016152158062415127","0.00016152158062415127","33:0.0023509838809708528;35:0.0019208470878332995","33:108;35:68","33:0.002746091843658399;35:0.0018973098172355707","0.026123046875","0.0185546875","Yes"
"35","238.70888750077043","274.03685318537714","0.022705078125","","0.02197265625","0.0234375","2180","0.00009772811683522559","32","0.00009772811683522559","0","0.00009772811683522559","0.00009772811683522559","19:0.0010931986185952203;34:0.0019208470878332995","19:68;34:68","19:0.0015345062819416277;34:0.0018973098172355707","0.022705078125","0.039306640625","Yes"
"36","206.73579259195915","213.94884375250234","0.0076904296875","0.0036999261078118637","0.00830078125","0.007080078125","2180","0.00018413583702522285","32","0.00018413583702522285","0","0.00018413583702522285","0.00018413583702522285","41:0.001903107227922085;21:0.0015051838837529252","41:68;21:68","41:0.0019276966835042042;21:0.0011929411133624057","0.0076904296875","0.008056640625","Yes"
"37","88.75803842957998","24.880558337075094","0.008056640625","0.0017424353009500744","0.013671875","0.00244140625","2180","0.0003891057786950779","32","0.0003891057786950779","0","0.0003891057786950779","0.0003891057786950779","45:0.0019349181182239106;25:0.0018182796568329274","45:68;25:68","45:0.0030356011234513314;25:0.002655243566216353","0.008056640625","0.010498046875","Yes"
"38","221.7959062871641","104.67112445686017","0.0093994140625","0.002970850772755099","0.01318359375","0.005615234375","2180","0.00019822437870521453","32","0.00019822437870521453","0","0.00019822437870521453","0.00019822437870521453","29:0.005300702925209955;49:0.001357954231090891","29:68;49:68","29:0.0030200444989952058;49:0.001342431795868293","0.0093994140625","0.01171875","Yes"
"39","191.28892507495732","120.63493676909206","0.0216064453125","0.002384052561589962","0.02294921875","0.020263671875","2180","0.00029192079273958473","32","0.00029192079273958473","0","0.00029192079273958473","0.00029192079273958473","53:0.0025187041532169774;33:0.00225446817464911","53:68;33:68","53:0.0014610207029551459;33:0.0015503302945885922","0.0216064453125","0.0498046875","Yes"
"40","239.89577883713787","37.98828222926947","0.0047607421875","0.002442607840201677","0.006103515625","0.00341796875","2180","0.0006489746138322463","32","0.0006489746138322463","0","0.0006489746138322463","0.0006489746138322463","41:0.004222168528181691","41:68","41:0.0024236269159770008","0.0047607421875","0.03369140625","Yes"
"41","231.16336826200484","35.5997602816162","0.0115966796875","0.0031833931509182203","0.01025390625","0.012939453125","2180","0.00039849874055908737","32","0.00039849874055908737","0","0.00039849874055908737","0.00039849874055908737","40:0.004222168528181691;42:0.0024819704416817467;36:0.001903107227922085","40:68;42:68;36:68","40:0.0024236269159770008;42:0.0022441381704781382;36:0.0019276966835042042","0.0115966796875","0.0107421875","Yes"
"42","374.7919954679209","73.65919786959219","0.0068359375","0.0009799924536884744","0.00927734375","0.00439453125","2180","0.00023551339377310792","32","0.00023551339377310792","0","0.00023551339377310792","0.00023551339377310792","41:0.0024819704416817467;43:0.0024922404381564067","41:68;43:68","41:0.0022441381704781382;43:0.0021460791908833043","0.0068359375","0.003173828125","Yes"
"43","191.4782024923798","30.401631760504213","0.0093994140625","0.001161790148583927","0.01416015625","0.004638671875","2180","0.0005024610434248115","32","0.0005024610434248115","0","0.0005024610434248115","0.0005024610434248115","42:0.0024922404381564067;56:0.0037179526047935174;44:0.0024698797221790747","42:68;56:68;44:68","42:0.0021460791908833043;56:0.0032414177317375004;44:0.002256399617884125","0.0093994140625","0.0078125","Yes"
"44","279.8043920103291","247.58460268840128","0.0047607421875","0.0014702663471463254","0.0078125","0.00146484375","2180","0.0001747384552220382","32","0.0001747384552220382","0","0.0001747384552220382","0.0001747384552220382","45:0.002716021923501205;43:0.0024698797221790747","45:68;43:68","45:0.002156668565848452;43:0.002256399617884125","0.0047607421875","0.049560546875","Yes"
"45","290.02817991448217","162.357965947057","0.0118408203125","0.004217361820273933","0.013427734375","0.01025390625","2180","0.0002823358388742292","32","0.0002823358388742292","0","0.0002823358388742292","0.0002823358388742292","44:0.002716021923501205;46:0.0018245593123116244;37:0.0019349181182239106","44:68;46:68;37:68","44:0.002156668565848452;46:0.0020592209940858974;37:0.0030356011234513314","0.0118408203125","0.00439453125","Yes"
"46","147.6123674508708","84.70965518252498","0.012451171875","0.002140121749968756","0.0185546875","0.00634765625","2180","0.00026580510406159396","32","0.00026580510406159396","0","0.00026580510406159396","0.00026580510406159396","45:0.0018245593123116244;47:0.001454792065997107","45:68;47:68","45:0.0020592209940858974;47:0.0017981347893159805","0.012451171875","0.00634765625","Yes"
"47","398.3869610589055","353.3267080022122","0.0128173828125","0.001312729645132291","0.013671875","0.011962890625","2180","0.0003602971243626696","32","0.0003602971243626696","0","0.0003602971243626696","0.0003602971243626696","48:0.003115574347914901;57:0.0017522667595184782;46:0.001454792065997107","48:68;57:68;46:68","48:0.0025217106707920434;57:0.0013898626430175753;46:0.0017981347893159805","0.0128173828125","0.004638671875","Yes"
"48","138.27541807597476","19.62670487707036","0.005859375","0.0009799554979427012","0.00732421875","0.00439453125","2180","0.00030114289344518113","32","0.00030114289344518113","0","0.00030114289344518113","0.00030114289344518113","47:0.003115574347914901;49:0.00217955138866896","47:68;49:68","47:0.0025217106707920434;49:0.004042730864046135","0.005859375","0.008056640625","Yes"
"49","257.82623198333613","105.36093175785388","0.010986328125","0.0067603541233586485","0.010009765625","0.011962890625","2180","0.0002621298436974152","32","0.0002621298436974152","0","0.0002621298436974152","0.0002621298436974152","48:0.00217955138866896;50:0.001728568461345642;38:0.001357954231090891","48:68;50:68;38:68","48:0.004042730864046135;50:0.001655048869114023;38:0.001342431795868293","0.010986328125","0.004638671875","Yes"
"50","270.39591112085265","239.9413434731547","0.00634765625","0.00025464012021774113","0.009521484375","0.003173828125","2180","0.0001776404128909868","32","0.0001776404128909868","0","0.0001776404128909868","0.0001776404128909868","49:0.001728568461345642;51:0.0012433254309942021","49:68;51:68","49:0.001655048869114023;51:0.0013889852241972256","0.00634765625","0.0146484375","Yes"
"51","239.13424660768754","210.3070557163244","0.0667724609375","","0.096435546875","0.037109375","2180","0.00012629609537073531","32","0.00012629609537073531","0","0.00012629609537073531","0.00012629609537073531","50:0.0012433254309942021;52:0.002695879320988609;58:0.0025991883081092626","50:68;52:68;58:68","50:0.0013889852241972256;52:0.00163828858613696;58:0.0014331866916572622","0.0667724609375","0.029541015625","Yes"
"52","257.78505074070495","61.2318388381897","0.0185546875","0.0053528763476624105","0.02880859375","0.00830078125","2180","0.0004683842116494184","32","0.0004683842116494184","0","0.0004683842116494184","0.0004683842116494184","51:0.002695879320988609;53:0.0015112391377698764","51:68;53:68","51:0.00163828858613696;53:0.0013461856590317733","0.0185546875","0.013671875","Yes"
"53","415.26913497475067","60.18725232082047","0.0078125","0.0007351251557817235","0.00830078125","0.00732421875","2180","0.00011831970504901218","32","0.00011831970504901218","0","0.00011831970504901218","0.00011831970504901218","39:0.0025187041532169774;52:0.0015112391377698764;54:0.0009573010644363389","39:68;52:68;54:68","39:0.0014610207029551459;52:0.0013461856590317733;54:0.0012156367026676385","0.0078125","0.005859375","Yes"
"54","153.13729711575917","191.06875164660082","0.0460205078125","","0.045654296875","0.04638671875","2180","0.0003140962576699282","32","0.0003140962576699282","0","0.0003140962576699282","0.0003140962576699282","53:0.0009573010644363389;55:0.0016824782990725595","53:68;55:68","53:0.0012156367026676385;55:0.001278915649607748","0.0460205078125","0.04150390625","Yes"
"55","311.4175645807664","82.46238532820118","0.009521484375","0.003457058887634774","0.009033203125","0.010009765625","2180","0.0001526315819779451","32","0.0001526315819779451","0","0.0001526315819779451","0.0001526315819779451","59:0.0013452651490134804;54:0.0016824782990725595","59:68;54:68","59:0.002797461500084336;54:0.001278915649607748","0.009521484375","0.003173828125","Yes"
"56","349.8035941550507","34.961675665069365","0.01318359375","0.00921628473459772","0.013671875","0.0126953125","2180","0.00018407714680778822","32","0.00018407714680778822","0","0.00018407714680778822","0.00018407714680778822","63:0.002489042903344646;43:0.0037179526047935174","63:68;43:68","63:0.002160597902625655;43:0.0032414177317375004","0.01318359375","0.010986328125","Yes"
"57","393.35667954491726","366.73773509487677","0.0107421875","0.00385896834304274","0.014404296875","0.007080078125","2180","0.0002527043115055189","32","0.0002527043115055189","0","0.0002527043115055189","0.0002527043115055189","47:0.0017522667595184782;67:0.0018294161400519426","47:68;67:68","47:0.0013898626430175753;67:0.002545204723455291","0.0107421875","0.0146484375","Yes"
"58","304.10418153287225","174.4439605842641","0.0079345703125","0.0015761471727641953","0.005126953125","0.0107421875","2180","0.00022566726490246057","32","0.00022566726490246057","0","0.00022566726490246057","0.00022566726490246057","71:0.0016225294388534095;51:0.0025991883081092626","71:68;51:68","71:0.0011342794720230753;51:0.0014331866916572622","0.0079345703125","0.0087890625","Yes"
"59","385.3327792474776","490.0051900200707","0.0062255859375","0.002065968888936686","0.010009765625","0.00244140625","2180","0.00017383963976270675","32","0.00017383963976270675","0","0.00017383963976270675","0.00017383963976270675","55:0.0013452651490134804;75:0.002065785721557606","55:68;75:68","55:0.002797461500084336;75:0.0017744287252877688","0.0062255859375","0.00537109375","Yes"
"60","267.0612958167407","30.554848249426936","0.00732421875","0.006103612698203735","0.009765625","0.0048828125","2180","0.0003745871334400737","32","0.0003745871334400737","0","0.0003745871334400737","0.0003745871334400737","61:0.0025491313422449924","61:68","61:0.0022802512222365456","0.00732421875","0.004150390625","Yes"
"61","224.30845572784727","35.89108169805851","0.0069580078125","0.0025456157875966977","0.00732421875","0.005859375","2180","0.00015112204872025562","32","0.00015112204872025562","0","0.00015112204872025562","0.00015112204872025562","76:0.0022306922607478463;60:0.0025491313422449924;62:0.001555656163145347","76:68;60:68;62:68","76:0.00243056139896608;60:0.0022802512222365456;62:0.002008137765541207","0.0069580078125","0.011962890625","Yes"
"62","243.82445154868688","73.58598057013235","0.0093994140625","0.002642070099133431","0.00537109375","0.013427734375","2180","0.0002307106728314469","32","0.0002307106728314469","0","0.0002307106728314469","0.0002307106728314469","61:0.001555656163145347;63:0.002050187826753591","61:68;63:68","61:0.002008137765541207;63:0.002655795723500831","0.0093994140625","0.011474609375","Yes"
"63","223.9486427289458","42.96139378941464","0.009521484375","0.005076406885135002","0.009765625","0.00927734375","2180","0.0003261129224354162","32","0.0003261129224354162","0","0.0003261129224354162","0.0003261129224354162","56:0.002489042903344646;62:0.002050187826753591;64:0.0025375832587484493","56:68;62:68;64:68","56:0.002160597902625655;62:0.002655795723500831;64:0.0018857598245274054","0.009521484375","0.025146484375","Yes"
"64","184.68962692765092","29.432667660233072","0.005859375","0.0007115528722578293","0.00634765625","0.00537109375","2180","0.00028751467376866526","32","0.00028751467376866526","0","0.00028751467376866526","0.00028751467376866526","65:0.004747428520521874;63:0.0025375832587484493","65:68;63:68","65:0.0019920909879250215;63:0.0018857598245274054","0.005859375","0.006591796875","Yes"
"65","314.49795537856363","207.21132942917347","0.010009765625","0.006102445845902967","0.01318359375","0.0068359375","2180","0.00044939909862774574","32","0.00044939909862774574","0","0.00044939909862774574","0.00044939909862774574","64:0.004747428520521874;66:0.0020358457314349765;77:0.0025243403363706673","64:68;66:68;77:68","64:0.0019920909879250215;66:0.001676657476132326;77:0.0025425127025282823","0.010009765625","0.00537109375","Yes"
"66","97.80115934505962","121.38924383694616","0.01025390625","0.00348942986434107","0.013916015625","0.006591796875","2180","0.0004096354519124766","32","0.0004096354519124766","0","0.0004096354519124766","0.0004096354519124766","65:0.0020358457314349765;67:0.0018510588336861922","65:68;67:68","65:0.001676657476132326;67:0.0022572673750628214","0.01025390625","0.010009765625","Yes"
"67","328.7124874093778","61.68409804394975","0.02978515625","0.0036310804656992535","0.0478515625","0.01171875","2180","0.00035502401522055985","32","0.00035502401522055985","0","0.00035502401522055985","0.00035502401522055985","68:0.001583651967085764;57:0.0018294161400519426;66:0.0018510588336861922","68:68;57:68;66:68","68:0.001984465774107408;57:0.002545204723455291;66:0.0022572673750628214","0.02978515625","0.00732421875","Yes"
"68","136.85895196696998","117.78410760344734","0.01025390625","0.0027687682338470064","0.0107421875","0.009765625","2180","0.00014611443250960648","32","0.00014611443250960648","0","0.00014611443250960648","0.00014611443250960648","67:0.001583651967085764;69:0.0014000704481181847","67:68;69:68","67:0.001984465774107408;69:0.0014813062057179582","0.01025390625","0.015380859375","Yes"
"69","246.0273552887309","193.8464464882243","0.00927734375","0.000977679087216498","0.00830078125","0.01025390625","2180","0.0000904263629982169","32","0.0000904263629982169","0","0.0000904263629982169","0.0000904263629982169","78:0.0016626202510414412;68:0.0014000704481181847;70:0.0028584746276706374","78:68;68:68;70:68","78:0.0017440081980542033;68:0.0014813062057179582;70:0.0020887972331589955","0.00927734375","0.007568359375","Yes"
"70","246.3410616986769","220.79111931648927","0.0167236328125","","0.02001953125","0.013427734375","2180","0.00014013007377599966","32","0.00014013007377599966","0","0.00014013007377599966","0.00014013007377599966","69:0.0028584746276706374;71:0.00269920247574007","69:68;71:68","69:0.0020887972331589955;71:0.0015342926860596462","0.0167236328125","0.052490234375","Yes"
"71","262.32135311322554","180.62784467481387","0.0062255859375","0.0026855116546234264","0.00830078125","0.004150390625","2180","0.00012589717410202216","32","0.00012589717410202216","0","0.00012589717410202216","0.00012589717410202216","72:0.001506898321637501;58:0.0016225294388534095;70:0.00269920247574007","72:68;58:68;70:68","72:0.0010082206647847869;58:0.0011342794720230753;70:0.0015342926860596462","0.0062255859375","0.017333984375","Yes"
"72","185.38160970125807","92.01018340220158","0.018310546875","","0.02197265625","0.0146484375","2180","0.00019721463064888942","32","0.00019721463064888942","0","0.00019721463064888942","0.00019721463064888942","73:0.0015145324146641492;71:0.001506898321637501","73:68;71:68","73:0.0017813590850870586;71:0.0010082206647847869","0.018310546875","0.0341796875","Yes"
"73","101.14548495894745","81.7825809052744","0.0283203125","","0.023681640625","0.032958984375","2180","0.00024362344119773914","32","0.00024362344119773914","0","0.00024362344119773914","0.00024362344119773914","72:0.0015145324146641492;74:0.0013223359093953169;79:0.001810844925163202","72:68;74:68;79:68","72:0.0017813590850870586;74:0.0012929143208410265;79:0.0013345919996801403","0.0283203125","0.025634765625","Yes"
"74","284.52228006947763","170.0334781818868","0.00732421875","0.0026932659311320072","0.0078125","0.0068359375","2180","0.00024560393250779093","32","0.00024560393250779093","0","0.00024560393250779093","0.00024560393250779093","73:0.0013223359093953169;75:0.001313104676813226","73:68;75:68","73:0.0012929143208410265;75:0.0011633645939314041","0.00732421875","0.00732421875","Yes"
